u,v
12857,37642
7617,45230
25712,46175
20432,40733
49032,22901
36503,43983
11390,23750
21892,17929
24899,22326
6749,16403
1570,17181
2621,8369
36382,43410
42526,43660
6472,27612
22226,30539
28316,45993
13150,42258
24192,36370
34975,37432
3504,14952
13993,3917
3934,49500
37420,32047
8779,47158
11734,36995
2172,16383
24762,38925
10408,45560
29649,47850
17220,49319
32666,49573
40465,31209
16637,44431
11554,29440
17158,14690
46818,43683
8215,31205
31206,33620
44626,36133
29010,14213
1319,2326
7428,36568
18035,39916
21391,35008
43407,27732
10276,21259
8356,48434
32792,45179
12675,29193
30682,20985
873,32093
33092,29789
6015,16901
45644,2837
14395,1236
44900,45215
7360,38219
49209,1423
20464,6759
26738,23085
32023,22237
6584,38700
17614,20548
14914,41133
35722,31049
6527,44643
29778,34308
26531,12429
38705,37127
26057,26152
4023,25190
25763,47243
26754,17867
2540,30768
31208,23351
7290,34873
30926,40712
1121,41820
42641,39353
45405,39108
2551,27526
23153,458
42795,14747
15905,24731
41144,42253
1234,30019
22474,10859
19236,47172
47050,8813
26228,28394
18106,12943
32093,21831
27991,15242
22070,18952
40798,13953
22662,25247
8531,25347
41766,24622
34017,13457
37107,37098
29692,39670
18391,15625
11002,3865
27686,39590
37226,32297
1295,6445
20082,41453
13280,20157
35972,49705
28822,30699
17922,42110
30162,17830
30042,48750
32738,24278
30864,9458
29048,19406
41346,44573
7270,43297
7284,31434
29597,6579
42219,24247
23502,10041
43856,42377
2075,43279
3096,6888
5273,7307
8707,11405
304,44234
14372,32838
3190,21888
32713,31520
314,2866
21038,27973
7658,26148
25838,8831
34273,41117
32320,17254
42433,41578
39777,27180
30067,49364
24373,11230
16450,27971
34136,4737
23470,46580
37115,22964
41381,8532
14908,30621
47980,25765
37715,36054
45220,31407
43805,38221
29273,17597
23844,23615
41835,8846
45343,6066
22942,38604
27794,39803
49220,18497
15787,14200
25915,24499
23737,753
39198,44411
30626,31528
47888,36555
5033,34075
9039,23353
27196,11378
19998,36671
9665,11756
28273,19395
13681,23665
10652,42646
2961,21811
9816,10306
45660,16632
9983,2397
14446,33428
37611,8472
18426,2396
14282,19503
24844,27335
26963,35055
8332,1746
13930,18513
31519,45576
24182,40608
20440,2769
13511,20351
32074,34599
16814,2364
8170,30610
3012,48760
19936,45856
45843,44975
5588,47834
18818,10833
33758,26644
17443,28910
45017,16876
8628,46280
25756,6115
46531,13379
28307,42104
28887,48642
2951,7655
6037,11717
4771,34943
16238,20196
6894,33776
32633,29313
47737,18760
49902,14250
38850,45089
7573,46196
27829,7645
10369,6903
30799,38921
15840,36040
16526,49581
22959,43729
22118,17530
34262,44739
31661,35765
45371,14493
37429,38598
36464,42590
38802,16246
25590,29207
8488,14089
31181,20059
34571,22298
46579,34791
6041,18478
32412,42413
41416,772
14324,23178
18163,18305
9630,11228
20051,26546
18394,1137
2309,1244
15568,4357
1769,356
46037,32963
2719,39085
45372,12772
758,9335
16717,45430
8175,47730
11781,9903
1656,23313
14220,6681
10844,41816
35054,9995
20612,22844
