u,v
1684,4481
2352,2699
2218,4870
1505,703
4806,2010
2467,351
200,2304
3054,218
4533,4953
1260,937
2119,4387
447,1987
1849,1324
4551,1188
1850,4013
3953,1742
501,574
3840,430
2622,4905
4345,999
1055,3928
4861,3969
3007,3611
4002,1168
205,2689
804,1310
2068,4894
1715,1386
1201,1081
101,757
2498,86
2983,1578
53,2703
2114,1722
3522,1260
4576,2555
3558,2539
1298,3246
1519,4078
4852,1547
3272,295
957,2128
839,2653
340,2596
4780,1705
970,2750
2671,4301
2970,2563
4034,3623
3595,4988
250,3263
2536,2157
3516,564
4440,2540
4247,4795
777,169
2709,4571
3405,3027
2155,3844
1149,1457
1538,969
3101,1277
4175,3965
3462,792
3322,191
1047,2234
280,2791
4600,3544
1456,4951
4125,3288
4583,2035
4926,2327
2964,358
4549,1789
4418,1277
1859,3120
899,4761
4421,4348
1003,1614
3977,253
595,3350
1868,3295
2075,1102
1964,4515
4493,1015
1410,3564
3266,3235
1574,1001
2509,2756
1120,1438
3732,1982
15,617
2315,3444
2003,4128
3546,3837
7,1807
1790,4525
1200,340
2254,2595
3818,1110
1219,1340
1391,3580
4840,4523
751,2736
4760,3724
174,3084
2214,1088
17,3141
1885,1820
704,4203
4375,1675
4071,1436
2530,2002
4160,1779
2397,3539
1801,1857
4855,2049
1557,516
1915,4865
2037,2725
2153,1038
3508,4920
1250,2142
4419,2156
2028,3259
4278,466
1094,4080
3000,1679
4442,4805
1198,2471
4163,2819
2623,1285
1571,234
3371,2581
2860,3271
3175,3865
2959,3170
2943,695
473,4277
662,3806
1294,3679
637,3458
930,1048
1034,4400
2523,1619
939,2799
3576,1513
768,3718
368,1126
1159,1010
1138,3056
2569,2611
3651,4706
413,968
1576,1790
3740,2950
2750,3555
3654,2706
2773,1353
560,2802
1069,1710
2469,931
1470,1179
123,4525
2193,1759
2668,21
4267,1858
4269,2161
1204,221
3398,943
4296,2065
1550,1963
3378,1048
1767,3986
984,1428
4051,1198
4430,1555
1021,3162
797,2131
548,3786
585,1896
4320,95
120,3002
1921,776
3676,3115
3465,4126
187,1819
622,1286
3585,191
4270,1463
4672,617
3009,1216
244,1913
560,2470
4739,3390
1647,2719
726,515
3935,375
3809,1867
303,4227
3992,4556
4292,1731
3311,1468
3697,4753
1673,3557
1638,862
1630,167
1128,2078
2893,36
4684,1771
3802,603
4577,4452
2838,3365
2245,3895
2104,2008
4653,3415
2441,112
1930,2309
3218,741
1103,42
2758,4532
4952,2900
3718,4435
3532,712
2788,487
858,2359
2825,2002
2196,268
855,3543
4943,2572
1399,1348
1500,3905
1056,2028
3331,4369
1977,3752
1221,4869
1742,4549
180,4947
3817,1837
4837,139
4280,2154
2240,1856
711,1947
2545,1825
2733,1223
1773,1390
2404,3029
3576,2669
4812,3383
1164,1684
1317,825
4805,3308
1821,4959
3812,2178
557,2694
4188,3774
2371,3840
643,2503
2636,4315
2446,2482
483,1228
1422,4506
3051,2734
3252,3625
4722,507
1921,1050
3529,4455
3116,2939
1854,2583
2438,4032
1289,1095
2999,3076
3549,1487
60,72
1284,3100
4962,2764
1456,4301
954,1201
537,4007
3066,2167
723,1134
2180,1392
3770,1002
752,1435
3072,1867
3521,2494
1735,4369
3957,157
4898,2405
4424,4146
2291,3409
3321,680
1766,806
1544,2441
2250,2161
3222,1702
99,1888
4629,1259
2796,1781
1977,3077
3493,4881
4232,643
4048,222
768,1218
1156,2250
3504,2260
4442,3978
1495,1783
2562,3848
3848,657
2484,644
981,3621
1233,107
4239,3222
1952,3736
1221,3367
267,3551
825,460
2639,3172
1108,2378
3860,4510
3212,3891
2726,180
2788,1184
